"name","is_partner","latitude","longitude"
"Justin Trails XC","0","43.939098","-90.82000"
"Kelly Canyon","0","43.645363","-111.6311"
"Kendall Mountain","0","37.811131","-107.6564"
"Keystone","1","39.605011","-105.9534"
"Kicking Horse Mountain Resort","1","51.301899","-116.9665"
"Killington Resort","1","43.619675","-72.80287"
"Kimberley","0","49.687595","-116.0037"
"King Pine","1","43.860630","-71.08812"
"King Pine XC","0","43.901798","-71.14630"
"Kingdom Trails XC","0","44.603401","-71.91380"
"Kirkwood","1","38.683231","-120.0668"
"Kirkwood XC","0","39.855400","-122.1641"
"Kissing Bridge","0","42.601620","-78.65258"
"Labrador Mountain","0","42.741528","-76.03002"
"Lake Louise","1","51.450264","-116.1440"
"Lakeridge Ski Resort","0","44.027214","-79.06401"
"Lapland Lake XC","0","43.226601","-74.16970"
"Las Vegas Ski","0","36.305027","-115.6788"
"Last Frontier Heli Bell 2","0","56.744400","-129.7944"
"Last Frontier Heli Ripley Creek","0","56.744400","-129.7944"
"Le Massif","1","47.280014","-70.60089"
"Liberty Mountain","0","39.763538","-77.37503"
"Loch Lomond","0","48.316311","-89.36158"
"London Ski Club","0","42.945572","-81.33923"
"Lone Mountain Ranch XC","0","45.262299","-111.2954"
"Lookout Pass","1","47.456764","-115.6971"
"Loon Mountain","1","44.056583","-71.62580"
"Lost Trail","1","45.692722","-113.9525"
"Lost Valley","1","44.128464","-70.28244"
"Loup Loup Ski Bowl","0","48.394905","-119.9113"
"Loveland Ski Area","1","39.679993","-105.8959"
"Lutsen Mountains","0","47.660358","-90.71286"
"Mad River","0","40.318474","-83.67951"
"Mad River Glen","1","44.201653","-72.91900"
"Magic Mountain","0","42.188892","-114.2853"
"Magic Mountain","1","43.202049","-72.77404"
"Mammoth Mountain","1","37.639599","-118.9372"
"Manning Park Resort","0","49.371475","-121.4257"
"Mansfield Outdoor Centre XC","0","45.444302","-76.37830"
"Maple Corner Farm XC","0","42.067001","-72.87619"
"Maple Ski Ridge","0","42.818039","-74.03158"
"Marmot Basin","1","52.802761","-118.0836"
"Marquette","0","46.508183","-87.42050"
"Martock","0","44.935883","-64.17260"
"Massanutten","1","38.404167","-78.75549"
"Maverick","0","45.433876","-113.1282"
"McCauley","0","43.698162","-74.96315"
"McIntyre Ski Area","0","43.005901","-71.44061"
"Meadowlark Ski Lodge","0","44.160507","-107.2190"
"Methow Valley XC","0","48.473701","-120.1774"
"Middlebury College Snow Bowl","0","44.007603","-73.17718"
"Millstone XC","0","44.159000","-72.45600"
"Minocqua Winter Park XC","0","45.870899","-89.70990"
"Mission Ridge","1","47.315800","-120.3859"
"Mohawk Mountain","0","41.838745","-73.31340"
"Mohonk Mt House XC","0","41.746101","-74.10559"
"Monarch Mountain","1","38.512714","-106.3316"
"Mont Avila","0","45.886005","-74.13316"
"Mont Belu","0","48.275799","-70.90560"
"Mont Blanc","0","46.109421","-74.48361"
"Mont Gabriel","0","45.888000","-74.15300"
"Mont Gleason","0","45.929543","-71.95632"
"Mont Habitant","0","45.881523","-74.17900"
"Mont Olympia","0","45.922600","-74.11419"
"Mont Orford","0","45.318085","-72.21884"
"Mont Rigaud","0","45.471199","-74.32759"
"Mont Ripley","0","47.127411","-88.56015"
"Mont Saint-Sauveur","0","45.886395","-74.14829"
"Mont Sainte Anne","1","47.048698","-70.88760"
"Mont Ste-Marie","0","45.941689","-75.87426"
"Mont Sutton","0","45.104774","-72.56049"
"Mont Tremblant Resort","1","46.213696","-74.58464"
"Montana Snowbowl","0","47.014088","-114.0001"
"Montecito Lake Resort","0","36.787201","-118.6607"
"Moonlight Basin","1","45.265999","-111.2530"
"Morse Farm XC","0","44.256901","-72.56980"
"Mount Bohemia","0","47.387936","-88.02306"
"Mount Brighton","0","42.541206","-83.81285"
"Mount Kato","0","44.132942","-94.03361"
"Mount Pleasant","0","41.879200","-80.14980"
"Mount Seymour","0","49.364853","-122.9489"
"Mount Snow Resort","1","42.968166","-72.89360"
"Mount Sunapee","0","43.341194","-72.07539"
"Mountain Creek Resort","1","41.190701","-74.49669"
"Mountain High Resort","1","34.376888","-117.6915"
"Mountain Meadows XC","0","44.063999","-72.08210"
"Mountain Top at Grand Geneva","0","42.613338","-88.39578"
